Protein,GN,Species
Q969X2,ST6GALNAC6,Homo sapiens
Q92186,ST8SIA2,Homo sapiens
Q96AH0,NABP1,Homo sapiens
O95391,SLU7,Homo sapiens
P35716,SOX11,Homo sapiens
Q5FBB7,SGO1,Homo sapiens
O95416,SOX14,Homo sapiens
Q14493,SLBP,Homo sapiens
Q9BQ49,SMIM7,Homo sapiens
Q8NDV3,SMC1B,Homo sapiens
Q86T20,SMIM29,Homo sapiens
Q6ZWJ1,STXBP4,Homo sapiens
Q5HYK7,SH3D19,Homo sapiens
Q8N801,STPG4,Homo sapiens
O94864,SUPT7L,Homo sapiens
Q4G0T1,,Homo sapiens
Q9UJ98,STAG3,Homo sapiens
Q8WWQ8,STAB2,Homo sapiens
O43597,SPRY2,Homo sapiens
O43752,STX6,Homo sapiens
P61266,STX1B,Homo sapiens
Q5W111,SPRYD7,Homo sapiens
Q7Z572,SPATA21,Homo sapiens
Q9H741,SPRING1,Homo sapiens
Q8N0S2,SYCE1,Homo sapiens
P0DPH7,TUBA3C,Homo sapiens
Q9Y3Q8,TSC22D4,Homo sapiens
Q6XYQ8,SYT10,Homo sapiens
B9A6J9,TBC1D3L,Homo sapiens
A6NJY4,TMEM238L,Homo sapiens
Q9BSH4,TACO1,Homo sapiens
Q6IPX1,TBC1D3C,Homo sapiens
Q16143,SNCB,Homo sapiens
Q9NVR7,TBCCD1,Homo sapiens
Q9UP52,TFR2,Homo sapiens
Q04206,RELA,Homo sapiens
Q8WVM0,TFB1M,Homo sapiens
A0A1B0GUV7,TEX48,Homo sapiens
Q9Y2L5,TRAPPC8,Homo sapiens
Q9P0U1,TOMM7,Homo sapiens
Q96HE8,TMEM80,Homo sapiens
O14668,PRRG1,Homo sapiens
Q5JU69,TOR2A,Homo sapiens
Q9Y3C4,TPRKB,Homo sapiens
Q8WW62,TMED6,Homo sapiens
O15016,TRIM66,Homo sapiens
Q8N4H5,TOMM5,Homo sapiens
Q96A61,TRIM52,Homo sapiens
O96008,TOMM40,Homo sapiens
P0DTU3,TRA,Homo sapiens
P01374,LTA,Homo sapiens
Q8WVP5,TNFAIP8L1,Homo sapiens
Q96JJ7,TMX3,Homo sapiens
P0DI81,TRAPPC2,Homo sapiens
Q6NXR4,TTI2,Homo sapiens
O43711,TLX3,Homo sapiens
Q8TBM7,TMEM254,Homo sapiens
Q9Y4R7,TTLL3,Homo sapiens
A0A0A0MS03,TRBV5-3,Homo sapiens
A0A539,TRBV4-2,Homo sapiens
Q7RTX1,TAS1R1,Homo sapiens
Q8NGF3,OR51D1,Homo sapiens
O60422,ONECUT3,Homo sapiens
Q9NPF4,OSGEP,Homo sapiens
Q8NGS8,OR13C5,Homo sapiens
Q9NRC9,OTOR,Homo sapiens
Q8NGE3,OR10P1,Homo sapiens
Q8NGT2,OR13J1,Homo sapiens
Q5TZ20,OR2G6,Homo sapiens
Q8NGR8,OR1L8,Homo sapiens
Q96R84,OR1F2P,Homo sapiens
Q8NGB6,OR4M2,Homo sapiens
A3KFT3,OR2M5,Homo sapiens
Q8N138,ORMDL3,Homo sapiens
Q8NGG7,OR8A1,Homo sapiens
Q15154,PCM1,Homo sapiens
P16499,PDE6A,Homo sapiens
Q9BWT3,PAPOLG,Homo sapiens
Q9NP74,PALMD,Homo sapiens
Q96JQ0,DCHS1,Homo sapiens
Q5JUK9,PAGE3,Homo sapiens
Q15070,OXA1L,Homo sapiens
Q6TGC4,PADI6,Homo sapiens
P0DJD7,PGA4,Homo sapiens
Q92696,RABGGTA,Homo sapiens
Q9NRX4,PHPT1,Homo sapiens
Q9C0D0,PHACTR1,Homo sapiens
P55347,PKNOX1,Homo sapiens
Q9UIG5,PSORS1C1,Homo sapiens
Q5VTL8,PRPF38B,Homo sapiens
Q8N3E9,PLCD3,Homo sapiens
Q6P2Q9,PRPF8,Homo sapiens
P62945,RPL41,Homo sapiens
Q96EQ8,RNF125,Homo sapiens
Q9Y508,RNF114,Homo sapiens
P04843,RPN1,Homo sapiens
Q8IYW5,RNF168,Homo sapiens
Q9GZS1,POLR1E,Homo sapiens
P19388,POLR2E,Homo sapiens
Q13084,MRPL28,Homo sapiens
P08922,ROS1,Homo sapiens
Q9NYK5,MRPL39,Homo sapiens
Q92736,RYR2,Homo sapiens
Q969S0,SLC35B4,Homo sapiens
Q495N2,SLC36A3,Homo sapiens
Q8IXU6,SLC35F2,Homo sapiens
Q8TBE7,SLC35G2,Homo sapiens
P82912,MRPS11,Homo sapiens
Q86VW1,SLC22A16,Homo sapiens
Q9H015,SLC22A4,Homo sapiens
Q9BSK2,SLC25A33,Homo sapiens
P08579,SNRPB2,Homo sapiens
Q96EL2,MRPS24,Homo sapiens
Q13950,RUNX2,Homo sapiens
P51398,DAP3,Homo sapiens
Q96C34,RUNDC1,Homo sapiens
Q86VL8,SLC47A2,Homo sapiens
Q9NTJ5,SACM1L,Homo sapiens
Q8TE82,SH3TC1,Homo sapiens
O75711,SCRG1,Homo sapiens
Q9UJQ4,SALL4,Homo sapiens
Q15436,SEC23A,Homo sapiens
Q12765,SCRN1,Homo sapiens
A0A286YFG1,SCYGR8,Homo sapiens
Q9HB31,SEBOX,Homo sapiens
Q9C0A6,SETD5,Homo sapiens
Q8WYJ6,SEPTIN1,Homo sapiens
O75533,SF3B1,Homo sapiens
Q9BWJ5,SF3B5,Homo sapiens
Q96KW9,SPACA7,Homo sapiens
Q15772,SPEG,Homo sapiens
Q13530,SERINC3,Homo sapiens
P0DTA3,SPDYE11,Homo sapiens
Q8NBT2,SPC24,Homo sapiens
Q9UMY4,SNX12,Homo sapiens
Q12824,SMARCB1,Homo sapiens
Q8WV41,SNX33,Homo sapiens
Q9BUR4,WRAP53,Homo sapiens
Q86UG4,SLCO6A1,Homo sapiens
P09012,SNRPA,Homo sapiens
Q9H0A9,SPATC1L,Homo sapiens
Q8NHU3,SGMS2,Homo sapiens
P41225,SOX3,Homo sapiens
P15907,ST6GAL1,Homo sapiens
Q14159,SPIDR,Homo sapiens
Q9Y5B9,SUPT16H,Homo sapiens
Q99865,SPIN2A,Homo sapiens
O95863,SNAI1,Homo sapiens
Q562F6,SGO2,Homo sapiens
Q16586,SGCA,Homo sapiens
Q8N196,SIX5,Homo sapiens
Q9BRG2,SH2D3A,Homo sapiens
Q9H668,STN1,Homo sapiens
Q6IMI4,SULT6B1,Homo sapiens
Q6ZMT1,STAC2,Homo sapiens
Q8WU08,STK32A,Homo sapiens
Q8WTU2,SSC4D,Homo sapiens
A6NGB0,TMEM191C,Homo sapiens
P59551,TAS2R60,Homo sapiens
